Etichette di riga;Cella;Cella (Evaporatore);Freezer;Freezer  (Condensatore);Totale complessivo
2019-06-29T10:10:02+02:00;NaN; ;-16.99;NaN;-16.99
2019-06-29T10:20:02+02:00;-13.89;-24.73;NaN; ;-38.62
2019-06-29T10:20:03+02:00;NaN; ;-17.36;30.5;13.14
2019-06-29T10:30:03+02:00;-13.81;-24.84;-17.06;31.21;-24.5
2019-06-29T10:40:01+02:00;-13.72;-24.67;-18.19;29.66;-26.92
2019-06-29T10:50:01+02:00;-13.76;-24.6;-17.26;29.93;-25.69
2019-06-29T11:00:01+02:00;-14.18;-25.03;-17.76;30.56;-26.41
2019-06-29T11:00:51+02:00;7.06;NaN;;NaN;7.06
2019-06-29T11:10:01+02:00;-7.75;-23.5;-17.6;29.81;-19.04
2019-06-29T11:20:01+02:00;-13.43;-24.19;-17.98;30.25;-25.35
2019-06-29T11:30:01+02:00;-13.52;-24.35;NaN;;-37.87
2019-06-29T11:30:02+02:00;NaN;;-16.41;28.64;12.23
2019-06-29T11:40:03+02:00;-12.81;-23.85;-13.49;31.75;-18.4
2019-06-29T11:50:25+02:00;-13.9;-24.52;NaN;;-38.42
2019-06-29T11:52:06+02:00;NaN;;-14.77;31.52;16.75
2019-06-29T12:00:01+02:00;-14.19;-24.78;NaN;;-38.97
2019-06-29T12:00:03+02:00;NaN;;-18.07;30.7;12.63
2019-06-29T12:10:01+02:00;-14.22;-24.88;NaN;;-39.1
2019-06-29T12:10:02+02:00;NaN;;-16.71;28.43;11.72
2019-06-29T12:20:01+02:00;-14.35;-24.92;-18.1;30.57;-26.8
2019-06-29T12:30:01+02:00;-14.36;-24.84;-15.77;26.11;-28.86
2019-06-29T12:40:01+02:00;-14.28;-24.86;-11.57;31.75;-18.96
2019-06-29T12:50:01+02:00;NaN;;-17.9;31.28;13.38
2019-06-29T12:50:02+02:00;-13.07;-17.5;NaN;;-30.57
2019-06-29T12:57:14+02:00;-7.5;NaN;;NaN;-7.5
2019-06-29T13:00:01+02:00;-9.6;-10.51;-16.82;29.73;-7.2
2019-06-29T13:10:02+02:00;-9.87;-21.26;-18.41;34.31;-15.23
2019-06-29T13:20:01+02:00;-12.81;-24.06;-16.36;32.74;-20.49
2019-06-29T13:30:03+02:00;-13.15;-24.08;-18.42;33.86;-21.79
2019-06-29T13:40:03+02:00;-13.18;-23.92;-16.88;33.77;-20.21
2019-06-29T13:50:01+02:00;NaN;;-17.74;33.71;15.97
2019-06-29T13:50:02+02:00;-13.21;-23.92;NaN;;-37.13
2019-06-29T14:00:02+02:00;NaN;;-17.56;34.26;16.7
2019-06-29T14:00:03+02:00;-13.22;-23.96;NaN;;-37.18
2019-06-29T14:10:02+02:00;-13.21;-23.93;-17.15;33;-21.29
2019-06-29T14:20:04+02:00;-13.28;-23.97;-17.99;34.87;-20.37
2019-06-29T14:30:02+02:00;-13.27;-23.94;-16.64;32.78;-21.07
2019-06-29T14:40:01+02:00;-13.25;-23.92;-18.36;34.92;-20.61
2019-06-29T14:50:02+02:00;-13.27;-23.91;-16.41;33.18;-20.41
2019-06-29T15:00:01+02:00;-13.34;-23.89;NaN;;-37.23
2019-06-29T15:00:03+02:00;NaN;;-18.59;34.78;16.19
2019-06-29T15:10:06+02:00;-13.28;-23.74;-16.23;33.11;-20.14
2019-06-29T15:20:02+02:00;-13.32;-23.73;-18.43;35.12;-20.36
2019-06-29T15:30:01+02:00;-13.31;-23.75;NaN;;-37.06
2019-06-29T15:30:02+02:00;NaN;;-14.84;31.16;16.32
2019-06-29T15:40:01+02:00;-13.3;-23.73;-11.32;35.25;-13.1
2019-06-29T15:50:01+02:00;-13.27;-23.66;-17.68;33.21;-21.4
