i	T	C	F	CS	FS
000000	02/07/2019 20:50:01	-13,94	-18,03		
000001	02/07/2019 21:00:01	-13,89	-16,36		
000002	02/07/2019 21:00:03	-13,22	-17,09		
000003	02/07/2019 21:10:01	-13,90	-17,13		
000004	02/07/2019 21:20:03	-13,90	-14,57		
000005	02/07/2019 21:30:01	-13,85	-10,72		
000006	02/07/2019 21:40:01	-13,85	-16,89		
000007	02/07/2019 21:50:01	-13,83	-17,03		
000008	02/07/2019 22:00:01	-13,22	-17,98		
000009	02/07/2019 22:00:03	-13,89	-16,36		
000010	02/07/2019 22:10:01	-13,95	-16,36		
000011	02/07/2019 22:10:02	-13,22	-17,32		
000012	02/07/2019 22:20:01	-13,22	-16,79		
000013	02/07/2019 22:20:02	-13,18	-16,36		
000014	02/07/2019 22:30:02	-10,57	-18,03		
000015	02/07/2019 22:40:02	-12,09	-16,36		
000016	02/07/2019 22:40:03	-13,22	-17,40		
000017	02/07/2019 22:50:02	-13,52	-16,76		
000018	02/07/2019 23:00:01	-13,77	-18,07		
000019	02/07/2019 23:10:03	-13,85	-17,25		
000020	02/07/2019 23:20:02	-13,89	-16,80		
000021	02/07/2019 23:30:02	-13,89	-18,07		
000022	02/07/2019 23:40:01	-13,22	-17,00		
000023	02/07/2019 23:40:02	-13,94	-16,36		
000024	02/07/2019 23:50:03	-13,91	-17,12		
000025	03/07/2019 00:00:02	-13,89	-17,93		
000026	03/07/2019 00:10:02	-13,92	-16,60		
000027	03/07/2019 00:20:03	-13,22	-16,74		
000028	03/07/2019 00:20:04	-13,97	-16,36		
000029	03/07/2019 00:30:01	-13,22	-11,48		FSPIKE
000030	03/07/2019 00:30:02	-14,01	-16,36		
000031	03/07/2019 00:40:02	-13,99	-15,07		
000032	03/07/2019 00:50:02	-13,96	-17,49		
000033	03/07/2019 01:00:01	-13,99	-16,36		
000034	03/07/2019 01:00:03	-13,22	-17,57		
000035	03/07/2019 01:10:01	-13,99	-16,58		
000036	03/07/2019 01:20:01	-14,11	-17,87		
000037	03/07/2019 01:30:01	-13,22	-17,53		
000038	03/07/2019 01:30:02	-14,01	-16,36		
000039	03/07/2019 01:40:03	-13,98	-16,54		
000040	03/07/2019 01:50:01	-14,08	-18,11		
000041	03/07/2019 02:00:01	-13,22	-17,15		
000042	03/07/2019 02:00:03	-14,07	-16,36		
000043	03/07/2019 02:10:03	-14,07	-16,92		
000044	03/07/2019 02:20:01	-14,03	-17,97		
000045	03/07/2019 02:30:01	-13,22	-16,53		
000046	03/07/2019 02:30:02	-13,93	-16,36		
000047	03/07/2019 02:40:02	-11,41	-17,93		
000048	03/07/2019 02:50:01	-12,11	-17,32		
000049	03/07/2019 03:00:01	-13,79	-16,78		
000050	03/07/2019 03:10:01	-14,04	-18,05		
000051	03/07/2019 03:20:01	-13,98	-16,36		
000052	03/07/2019 03:20:02	-13,22	-14,88		
000053	03/07/2019 03:30:02	-13,22	-11,78		FSPIKE
000054	03/07/2019 03:30:03	-14,01	-16,36		
000055	03/07/2019 03:40:02	-14,04	-18,04		
000056	03/07/2019 03:50:02	-14,05	-16,70		
000057	03/07/2019 04:00:01	-14,08	-16,36		
000058	03/07/2019 04:00:03	-13,22	-17,85		
000059	03/07/2019 04:10:02	-14,09	-17,55		
000060	03/07/2019 04:20:01	-14,07	-16,36		
000061	03/07/2019 04:20:02	-13,22	-16,51		
000062	03/07/2019 04:30:02	-14,10	-18,26		
000063	03/07/2019 04:40:01	-14,10	-14,66		
000064	03/07/2019 04:50:01	-14,05	-15,84		
000065	03/07/2019 05:00:03	-12,64	-17,48		
000066	03/07/2019 05:10:02	-13,19	-15,99		
000067	03/07/2019 05:20:02	-12,91	-13,87		
000068	03/07/2019 05:30:02	-10,93	-15,66		
000069	03/07/2019 05:40:01	-13,02	-17,37		
000070	03/07/2019 05:50:02	-13,37	-16,69		
000071	03/07/2019 06:00:01	-13,50	-16,36		
000072	03/07/2019 06:00:03	-13,22	-16,25		
000073	03/07/2019 06:10:01	-13,22	-17,58		
000074	03/07/2019 06:10:02	-13,62	-16,36		
000075	03/07/2019 06:16:08	-13,22	-3,13		FSPIKE
000076	03/07/2019 06:20:01	-13,65	-9,47		
000077	03/07/2019 06:30:01	-13,53	-16,36		
000078	03/07/2019 06:30:02	-13,22	-6,35		
000079	03/07/2019 06:40:01	-13,37	-16,36		
000080	03/07/2019 06:40:02	-13,22	-16,43		
000081	03/07/2019 06:50:01	-11,89	-17,48		
000082	03/07/2019 07:00:03	-9,84	-16,36		
